fecha,pais,hemisferio,car_type,payment_method,evento_especial,demanda_pasajeros
2024-01-01,Morocco,N,luxury_bus,cash,0,61
2024-01-01,Morocco,N,luxury_bus,card,0,54
2024-01-01,Morocco,N,luxury_bus,digital_wallet,0,63
2024-01-01,Morocco,N,tourist_van,cash,0,298
2024-01-01,Morocco,N,tourist_van,card,0,277
2024-01-01,Morocco,N,tourist_van,digital_wallet,0,277
2024-01-01,Morocco,N,train_express,cash,0,74
2024-01-01,Morocco,N,train_express,card,0,65
2024-01-01,Morocco,N,train_express,digital_wallet,0,50
2024-01-02,Morocco,N,luxury_bus,cash,0,62
2024-01-02,Morocco,N,luxury_bus,card,0,50
2024-01-02,Morocco,N,luxury_bus,digital_wallet,0,50
2024-01-02,Morocco,N,tourist_van,cash,0,283
2024-01-02,Morocco,N,tourist_van,card,0,257
2024-01-02,Morocco,N,tourist_van,digital_wallet,0,259
2024-01-02,Morocco,N,train_express,cash,0,49
2024-01-02,Morocco,N,train_express,card,0,43
2024-01-02,Morocco,N,train_express,digital_wallet,0,59
2024-01-03,Morocco,N,luxury_bus,cash,0,45
2024-01-03,Morocco,N,luxury_bus,card,0,39
2024-01-03,Morocco,N,luxury_bus,digital_wallet,0,73
2024-01-03,Morocco,N,tourist_van,cash,0,277
2024-01-03,Morocco,N,tourist_van,card,0,281
2024-01-03,Morocco,N,tourist_van,digital_wallet,0,263
2024-01-03,Morocco,N,train_express,cash,0,49
2024-01-03,Morocco,N,train_express,card,0,57
2024-01-03,Morocco,N,train_express,digital_wallet,0,42
2024-01-04,Morocco,N,luxury_bus,cash,0,60
2024-01-04,Morocco,N,luxury_bus,card,0,48
2024-01-04,Morocco,N,luxury_bus,digital_wallet,0,52
2024-01-04,Morocco,N,tourist_van,cash,0,273
2024-01-04,Morocco,N,tourist_van,card,0,302
2024-01-04,Morocco,N,tourist_van,digital_wallet,0,280
2024-01-04,Morocco,N,train_express,cash,0,43
2024-01-04,Morocco,N,train_express,card,0,65
2024-01-04,Morocco,N,train_express,digital_wallet,0,41
2024-01-05,Morocco,N,luxury_bus,cash,0,98
2024-01-05,Morocco,N,luxury_bus,card,0,87
2024-01-05,Morocco,N,luxury_bus,digital_wallet,0,95
2024-01-05,Morocco,N,tourist_van,cash,0,322
2024-01-05,Morocco,N,tourist_van,card,0,344
2024-01-05,Morocco,N,tourist_van,digital_wallet,0,337
2024-01-05,Morocco,N,train_express,cash,0,94
2024-01-05,Morocco,N,train_express,card,0,107
2024-01-05,Morocco,N,train_express,digital_wallet,0,93
2024-01-06,Morocco,N,luxury_bus,cash,0,87
2024-01-06,Morocco,N,luxury_bus,card,0,105
2024-01-06,Morocco,N,luxury_bus,digital_wallet,0,123
2024-01-06,Morocco,N,tourist_van,cash,0,324
2024-01-06,Morocco,N,tourist_van,card,0,314
2024-01-06,Morocco,N,tourist_van,digital_wallet,0,339
2024-01-06,Morocco,N,train_express,cash,0,91
2024-01-06,Morocco,N,train_express,card,0,102
2024-01-06,Morocco,N,train_express,digital_wallet,0,118
2024-01-07,Morocco,N,luxury_bus,cash,0,38
2024-01-07,Morocco,N,luxury_bus,card,0,37
2024-01-07,Morocco,N,luxury_bus,digital_wallet,0,16
2024-01-07,Morocco,N,tourist_van,cash,0,246
2024-01-07,Morocco,N,tourist_van,card,0,254
2024-01-07,Morocco,N,tourist_van,digital_wallet,0,262
2024-01-07,Morocco,N,train_express,cash,0,20
2024-01-07,Morocco,N,train_express,card,0,23
2024-01-07,Morocco,N,train_express,digital_wallet,0,12
2024-01-08,Morocco,N,luxury_bus,cash,0,41
2024-01-08,Morocco,N,luxury_bus,card,0,65
2024-01-08,Morocco,N,luxury_bus,digital_wallet,0,72
2024-01-08,Morocco,N,tourist_van,cash,0,279
2024-01-08,Morocco,N,tourist_van,card,0,292
2024-01-08,Morocco,N,tourist_van,digital_wallet,0,284
2024-01-08,Morocco,N,train_express,cash,0,48
2024-01-08,Morocco,N,train_express,card,0,60
2024-01-08,Morocco,N,train_express,digital_wallet,0,74
2024-01-09,Morocco,N,luxury_bus,cash,0,55
2024-01-09,Morocco,N,luxury_bus,card,0,74
2024-01-09,Morocco,N,luxury_bus,digital_wallet,0,24
2024-01-09,Morocco,N,tourist_van,cash,0,290
2024-01-09,Morocco,N,tourist_van,card,0,281
2024-01-09,Morocco,N,tourist_van,digital_wallet,0,276
2024-01-09,Morocco,N,train_express,cash,0,57
2024-01-09,Morocco,N,train_express,card,0,32
2024-01-09,Morocco,N,train_express,digital_wallet,0,53
2024-01-10,Morocco,N,luxury_bus,cash,0,60
2024-01-10,Morocco,N,luxury_bus,card,0,73
2024-01-10,Morocco,N,luxury_bus,digital_wallet,0,49
2024-01-10,Morocco,N,tourist_van,cash,0,270
2024-01-10,Morocco,N,tourist_van,card,0,274
2024-01-10,Morocco,N,tourist_van,digital_wallet,0,291
2024-01-10,Morocco,N,train_express,cash,0,60
2024-01-10,Morocco,N,train_express,card,0,49
2024-01-10,Morocco,N,train_express,digital_wallet,0,62
2024-01-11,Morocco,N,luxury_bus,cash,0,57
2024-01-11,Morocco,N,luxury_bus,card,0,67
2024-01-11,Morocco,N,luxury_bus,digital_wallet,0,47
2024-01-11,Morocco,N,tourist_van,cash,0,276
2024-01-11,Morocco,N,tourist_van,card,0,275
2024-01-11,Morocco,N,tourist_van,digital_wallet,0,262
2024-01-11,Morocco,N,train_express,cash,0,59
2024-01-11,Morocco,N,train_express,card,0,59
2024-01-11,Morocco,N,train_express,digital_wallet,0,56
2024-01-12,Morocco,N,luxury_bus,cash,0,93
2024-01-12,Morocco,N,luxury_bus,card,0,94
2024-01-12,Morocco,N,luxury_bus,digital_wallet,0,106
2024-01-12,Morocco,N,tourist_van,cash,0,316
2024-01-12,Morocco,N,tourist_van,card,0,325
2024-01-12,Morocco,N,tourist_van,digital_wallet,0,333
2024-01-12,Morocco,N,train_express,cash,0,101
2024-01-12,Morocco,N,train_express,card,0,133
2024-01-12,Morocco,N,train_express,digital_wallet,0,113
2024-01-13,Morocco,N,luxury_bus,cash,0,99
2024-01-13,Morocco,N,luxury_bus,card,0,110
2024-01-13,Morocco,N,luxury_bus,digital_wallet,0,88
2024-01-13,Morocco,N,tourist_van,cash,0,320
2024-01-13,Morocco,N,tourist_van,card,0,336
2024-01-13,Morocco,N,tourist_van,digital_wallet,0,365
2024-01-13,Morocco,N,train_express,cash,0,93
2024-01-13,Morocco,N,train_express,card,0,114
2024-01-13,Morocco,N,train_express,digital_wallet,0,110
2024-01-14,Morocco,N,luxury_bus,cash,0,12
2024-01-14,Morocco,N,luxury_bus,card,0,39
2024-01-14,Morocco,N,luxury_bus,digital_wallet,0,35
2024-01-14,Morocco,N,tourist_van,cash,0,260
2024-01-14,Morocco,N,tourist_van,card,0,239
2024-01-14,Morocco,N,tourist_van,digital_wallet,0,267
2024-01-14,Morocco,N,train_express,cash,0,9
2024-01-14,Morocco,N,train_express,card,0,33
2024-01-14,Morocco,N,train_express,digital_wallet,0,52
2024-01-15,Morocco,N,luxury_bus,cash,0,69
2024-01-15,Morocco,N,luxury_bus,card,0,49
2024-01-15,Morocco,N,luxury_bus,digital_wallet,0,57
2024-01-15,Morocco,N,tourist_van,cash,0,299
2024-01-15,Morocco,N,tourist_van,card,0,262
2024-01-15,Morocco,N,tourist_van,digital_wallet,0,281
2024-01-15,Morocco,N,train_express,cash,0,68
2024-01-15,Morocco,N,train_express,card,0,61
2024-01-15,Morocco,N,train_express,digital_wallet,0,45
2024-01-16,Morocco,N,luxury_bus,cash,0,74
2024-01-16,Morocco,N,luxury_bus,card,0,46
2024-01-16,Morocco,N,luxury_bus,digital_wallet,0,52
2024-01-16,Morocco,N,tourist_van,cash,0,290
2024-01-16,Morocco,N,tourist_van,card,0,265
2024-01-16,Morocco,N,tourist_van,digital_wallet,0,283
2024-01-16,Morocco,N,train_express,cash,0,71
2024-01-16,Morocco,N,train_express,card,0,36
2024-01-16,Morocco,N,train_express,digital_wallet,0,58
2024-01-17,Morocco,N,luxury_bus,cash,0,59
2024-01-17,Morocco,N,luxury_bus,card,0,65
